date	close
2013-01-01	5566
2013-01-02	5707
2013-01-03	4455
2013-01-04	4833
2013-01-05	3147
2013-01-06	4804
2013-01-07	5287
2013-01-08	4719
2013-01-09	5101
2013-01-10	6228
2013-01-11	6019
2013-01-12	2880
2013-01-13	5367
2013-01-14	5463
2013-01-15	6001
2013-01-16	7572
2013-01-17	7443
2013-01-18	8009
2013-01-19	3768
2013-01-20	4749
2013-01-21	6393
2013-01-22	4871
2013-01-23	5368
2013-01-24	6449
2013-01-25	6622
2013-01-26	3100
2013-01-27	5770
2013-01-28	5234
2013-01-29	5078
2013-01-30	5943
2013-01-31	7333
2013-02-01	6993
2013-02-02	2919
2013-02-03	5001
2013-02-04	5493
2013-02-05	4544
2013-02-06	5650
2013-02-07	8083
2013-02-08	4499
2013-02-09	1727
2013-02-10	5348
2013-02-11	5357
2013-02-12	5667
2013-02-13	7267
2013-02-14	7620
2013-02-15	7617
2013-02-16	3374
2013-02-17	5346
2013-02-18	6956
2013-02-19	5200
2013-02-20	5617
2013-02-21	6866
2013-02-22	7072
2013-02-23	3095
2013-02-24	6110
2013-02-25	5762
2013-02-26	5288
2013-02-27	6286
2013-02-28	7548
2013-03-01	7719
2013-03-02	3370
2013-03-03	6631
2013-03-04	5915
2013-03-05	5217
2013-03-06	6106
2013-03-07	6267
2013-03-08	6654
2013-03-09	3893
2013-03-10	6311
2013-03-11	6257
2013-03-12	5482
2013-03-13	7150
2013-03-14	8368
2013-03-15	9340
2013-03-16	4572
2013-03-17	7762
2013-03-18	7516
2013-03-19	6191
2013-03-20	7344
2013-03-21	7735
2013-03-22	8263
2013-03-23	3837
2013-03-24	6051
2013-03-25	5546
2013-03-26	5321
2013-03-27	6114
2013-03-28	7737
2013-03-29	7272
2013-03-30	3372
2013-03-31	5632
2013-04-01	5853
2013-04-02	4849
2013-04-03	5614
2013-04-04	7595
2013-04-05	8224
2013-04-06	3979
2013-04-07	6692
2013-04-08	6538
2013-04-09	5709
2013-04-10	6797
2013-04-11	8424
2013-04-12	7027
2013-04-13	3315
2013-04-14	7079
2013-04-15	6689
2013-04-16	5589
2013-04-17	6773
2013-04-18	7871
2013-04-19	8568
2013-04-20	3990
2013-04-21	7337
2013-04-22	6651
2013-04-23	5376
2013-04-24	6767
2013-04-25	8300
2013-04-26	8632
2013-04-27	3689
2013-04-28	7140
2013-04-29	6247
2013-04-30	5634
2013-05-01	6547
2013-05-02	8009
2013-05-03	8483
2013-05-04	3673
2013-05-05	6948
2013-05-06	6662
2013-05-07	6096
2013-05-08	6802
2013-05-09	7992
2013-05-10	8861
2013-05-11	3899
2013-05-12	7006
2013-05-13	6866
2013-05-14	5965
2013-05-15	7064
2013-05-16	8336
2013-05-17	8907
2013-05-18	4358
2013-05-19	7141
2013-05-20	7720
2013-05-21	6891
2013-05-22	6945
2013-05-23	6746
2013-05-24	7851
2013-05-25	3920
2013-05-26	3362
2013-05-27	6314
2013-05-28	6030
2013-05-29	5568
2013-05-30	7136
2013-05-31	7938
2013-06-01	3928
2013-06-02	6906
2013-06-03	6547
2013-06-04	6257
2013-06-05	6928
2013-06-06	7954
2013-06-07	7674
2013-06-08	3663
2013-06-09	6858
2013-06-10	7175
2013-06-11	6123
2013-06-12	7050
2013-06-13	7253
2013-06-14	8589
2013-06-15	4055
2013-06-16	6578
2013-06-17	6612
2013-06-18	6001
2013-06-19	7217
2013-06-20	8097
2013-06-21	8182
2013-06-22	3757
2013-06-23	6910
2013-06-24	7141
2013-06-25	6460
2013-06-26	7206
2013-06-27	7667
2013-06-28	8387
2013-06-29	4748
2013-06-30	5906
2013-07-01	6291
2013-07-02	6265
2013-07-03	8180
2013-07-04	4209
2013-07-05	3542
2013-07-06	3159
2013-07-07	6148
2013-07-08	6281
2013-07-09	5185
2013-07-10	6006
2013-07-11	7283
2013-07-12	7264
2013-07-13	3611
2013-07-14	6340
2013-07-15	6402
2013-07-16	5510
2013-07-17	6508
2013-07-18	7528
2013-07-19	7723
2013-07-20	3696
2013-07-21	6567
2013-07-22	6337
2013-07-23	5951
2013-07-24	6376
2013-07-25	7250
2013-07-26	7514
2013-07-27	3792
2013-07-28	6505
2013-07-29	7239
2013-07-30	5546
2013-07-31	6392
2013-08-01	4574
2013-08-02	3788
2013-08-03	2035
2013-08-04	3162
2013-08-05	6673
2013-08-06	6100
2013-08-07	6765
2013-08-08	7496
2013-08-09	7885
2013-08-10	4472
2013-08-11	3326
2013-08-12	6754
2013-08-13	5762
2013-08-14	6438
2013-08-15	7451
2013-08-16	7600
2013-08-17	3944
2013-08-18	6205
2013-08-19	6309
2013-08-20	5809
2013-08-21	6332
2013-08-22	6759
2013-08-23	7489
2013-08-24	3622
2013-08-25	6163
2013-08-26	5987
2013-08-27	4871
2013-08-28	5859
2013-08-29	7581
2013-08-30	8762
2013-08-31	4086
2013-09-01	3921
2013-09-02	7457
2013-09-03	6308
2013-09-04	5331
2013-09-05	5815
2013-09-06	6688
2013-09-07	3243
2013-09-08	6395
2013-09-09	6576
2013-09-10	6205
2013-09-11	6242
2013-09-12	7595
2013-09-13	9813
2013-09-14	3086
2013-09-15	6235
2013-09-16	6694
2013-09-17	6026
2013-09-18	7170
2013-09-19	8025
2013-09-20	8656
2013-09-21	3602
2013-09-22	7624
2013-09-23	7058
2013-09-24	5849
2013-09-25	6933
2013-09-26	8257
2013-09-27	8928
2013-09-28	3822
2013-09-29	7298
2013-09-30	6976
2013-10-01	5605
2013-10-02	6575
2013-10-03	7829
2013-10-04	8331
2013-10-05	3595
2013-10-06	7504
2013-10-07	6635
2013-10-08	6020
2013-10-09	6988
2013-10-10	8139
2013-10-11	9173
2013-10-12	4451
2013-10-13	7022
2013-10-14	7709
2013-10-15	6676
2013-10-16	6716
2013-10-17	7881
2013-10-18	8624
2013-10-19	3874
2013-10-20	8079
2013-10-21	7711
2013-10-22	6185
2013-10-23	6602
2013-10-24	7866
2013-10-25	8604
2013-10-26	3961
2013-10-27	7958
2013-10-28	7090
2013-10-29	5656
2013-10-30	6642
2013-10-31	6164
2013-11-01	6351
2013-11-02	3186
2013-11-03	6535
2013-11-04	8566
2013-11-05	6447
2013-11-06	6835
2013-11-07	8083
2013-11-08	8763
2013-11-09	3705
2013-11-10	7540
2013-11-11	7756
2013-11-12	6209
2013-11-13	6657
2013-11-14	7763
2013-11-15	8195
2013-11-16	3379
2013-11-17	7293
2013-11-18	6949
2013-11-19	5600
2013-11-20	6371
2013-11-21	7366
2013-11-22	7336
2013-11-23	4257
2013-11-24	6413
2013-11-25	6068
2013-11-26	8376
2013-11-27	7146
2013-11-28	4448
2013-11-29	2855
2013-11-30	3827
2013-12-01	5769
2013-12-02	6895
2013-12-03	6155
2013-12-04	6935
2013-12-05	7673
2013-12-06	8006
2013-12-07	3658
2013-12-08	7611
2013-12-09	7264
2013-12-10	5686
2013-12-11	7333
2013-12-12	8025
2013-12-13	7921
2013-12-14	3665
2013-12-15	7528
2013-12-16	7734
2013-12-17	6197
2013-12-18	8465
2013-12-19	8894
2013-12-20	10125
2013-12-21	7179
2013-12-22	7302
2013-12-23	7325
2013-12-24	5636
2013-12-25	3074
2013-12-26	3069
2013-12-27	3896
2013-12-28	3307
2013-12-29	3827
2013-12-30	3833
2013-12-31	2585
